Code_du_departement;Libelle_du_departement;Candidat_gagnant_2017;Candidat_gagnant_2022;Nombre_voix_2017;Nombre_voix_2022;Taux_voix_exp_2017;Taux_voix_exp_2022;Inscrits_2017;Inscrits_2022;Abstentions_2017;Abstentions_2022;Votants_2017;Votants_2022;Blancs_2017;Blancs_2022;Nuls_2017;Nuls_2022;Exprimes_2017;Exprimes_2022;Taux_chomage_2017;Taux_chomage_2018;Taux_chomage_2019;Taux_chomage_2020;Taux_chomage_2021;Taux_chomage_2022;Effectifs_infirmiers_2017;Effectifs_infirmiers_2018;Effectifs_infirmiers_2019;Effectifs_infirmiers_2020;Effectifs_infirmiers_2021;Effectifs_infirmiers_2022;Effectifs_medecins_generalistes_2017;Effectifs_medecins_generalistes_2018;Effectifs_medecins_generalistes_2019;Effectifs_medecins_generalistes_2020;Effectifs_medecins_generalistes_2021;Effectifs_medecins_generalistes_2022;Moins_de_19_ans_2017;Moins_de_19_ans_2018;Moins_de_19_ans_2019;Moins_de_19_ans_2020;Moins_de_19_ans_2021;Moins_de_19_ans_2022;_20_a_39_ans_2017;_20_a_39_ans_2018;_20_a_39_ans_2019;_20_a_39_ans_2020;_20_a_39_ans_2021;_20_a_39_ans_2022;_40_a_59_ans_2017;_40_a_59_ans_2018;_40_a_59_ans_2019;_40_a_59_ans_2020;_40_a_59_ans_2021;_40_a_59_ans_2022;_60_a_74_ans_2017;_60_a_74_ans_2018;_60_a_74_ans_2019;_60_a_74_ans_2020;_60_a_74_ans_2021;_60_a_74_ans_2022;_75_ans_et_plus_2017;_75_ans_et_plus_2018;_75_ans_et_plus_2019;_75_ans_et_plus_2020;_75_ans_et_plus_2021;_75_ans_et_plus_2022;Nombre_habitants_2017;Nombre_habitants_2018;Nombre_habitants_2019;Nombre_habitants_2020;Nombre_habitants_2021;Nombre_habitants_2022;Nombre_hommes_2017;Nombre_hommes_2018;Nombre_hommes_2019;Nombre_hommes_2020;Nombre_hommes_2021;Nombre_hommes_2022;Nombre_femmes_2017;Nombre_femmes_2018;Nombre_femmes_2019;Nombre_femmes_2020;Nombre_femmes_2021;Nombre_femmes_2022
27;Eure;LE PEN_Marine;LE PEN_Marine;98717;102952;29,31;32.29;427533;432198;82218;106463;345315;325735;6006;5085;2534;1789;336775;318861;9,5;9,1;8,4;8;7,7;7;465;487;495;503;538;551;372;373;363;352;335;340;156208;154355;154485;153451;151773;150218;132440;131241;129469;129760;128628;127745;163765;162318;160800;159746;159329;158568;99494;102304;104372;106165;108131;108443;49936;49744;50381;50546;50543;52451;601843;599962;599507;599668;598404;597425;293592;292455;292287;292003;291268;290509;308251;307507;307220;307665;307136;306916
28;Eure-et-Loir;LE PEN_Marine;LE PEN_Marine;58886;61960;25,08;28.16;301466;303888;60474;78960;240992;224928;4533;3489;1680;1418;234779;220021;8,9;8,5;8,2;7,4;7,1;6,7;309;320;329;337;349;360;250;255;241;236;228;228;109709;109180;109734;108818;107740;106858;94209;92652;91478;91490;90822;89986;116219;115433;114712;114316;113954;113656;72180;73809;75040;76406;77551;77517;40916;40923;40611;40413;40445;41553;433233;431997;431575;431443;430512;429570;211809;211107;211056;210906;210414;210026;221424;220890;220519;220537;220098;219544
29;Finist���re;MACRON_Emmanuel;MACRON_Emmanuel;164094;174894;29,45;32.21;690570;709701;120636;154870;569934;554831;9452;8692;3298;3220;557184;542919;8,2;7,8;7,3;7;6,7;6,1;1901;1934;1987;2032;1987;1979;800;813;832;852;857;871;207998;206203;205052;203935;201697;199882;193066;192667;193345;192640;192878;192998;243412;242379;240737;239130;238701;238154;165954;172354;176336;180934;185388;186977;98598;98132;99620;100540;101615;105389;909028;911735;915090;917179;920279;923400;441776;442893;444710;445793;447273;448840;467252;468842;470380;471386;473006;474560
30;Gard;LE PEN_Marine;LE PEN_Marine;123273;121480;29,3;29.34;537939;555038;107277;132723;430662;422315;7032;5840;2948;2496;420682;413979;12,6;12,2;11,7;10,7;10,5;9,9;1894;1914;1944;1927;1899;1854;609;606;599;589;569;558;173500;172854;172903;172000;170707;169269;156678;155052;155037;154370;153873;153954;199453;198358;197144;196244;196154;195938;138776;142084;144276;147375;149974;150502;75771;77110;79077;81468;82801;85834;744178;745458;748437;751457;753509;755497;358644;359172;360685;362114;363119;363970;385534;386286;387752;389343;390390;391527
31;Haute-Garonne;MACRON_Emmanuel;MACRON_Emmanuel;190021;196712;26,43;26.91;906653;930321;171295;183366;735358;746955;11389;10129;5098;5847;718871;730979;9,2;8,6;8,1;8;8,1;7,4;2095;2136;2172;2196;2250;2241;1317;1321;1337;1374;1364;1371;332102;334809;332599;334342;337803;342224;388074;392831;400154;404123;406177;408104;351728;354905;360448;363352;368411;372761;185809;191581;197529;201899;207645;210603;104959;106546;109309;112041;114232;118849;1362672;1380672;1400039;1415757;1434268;1452541;663824;672721;682192;689143;697849;706456;698848;707951;717847;726614;736419;746085
32;Gers;MACRON_Emmanuel;MACRON_Emmanuel;27775;28970;23,4;24.89;144959;147278;23027;28267;121932;119011;2166;1762;1083;850;118683;116399;7,2;6,7;6,4;6;6,1;5,7;383;392;407;402;407;401;160;159;150;140;132;139;38779;38779;38964;38857;38464;38130;33509;33263;33029;32745;32894;33056;52905;52691;51989;51902;51431;51019;39634;40492;41172;42023;42935;43037;26264;26058;26223;26292;26435;27311;191091;191283;191377;191819;192159;192553;93128;93278;93311;93464;93653;93857;97963;98005;98066;98355;98506;98696
33;Gironde;MACRON_Emmanuel;MACRON_Emmanuel;222282;256179;26,13;28.72;1086968;1158548;216588;249014;870380;909534;13904;12367;5661;5147;850815;892020;9,4;8,8;8,1;7,6;7,3;6,6;3140;3233;3296;3300;3281;3185;1568;1582;1606;1651;1688;1722;373459;376552;376615;377168;378671;381004;403013;407185;413300;416214;419828;422968;417998;420836;426496;427660;432657;437558;250311;256861;263610;268466;274672;276750;138603;140411;143728;146883;149497;155475;1583384;1601845;1623749;1636391;1655325;1673755;760828;767909;778757;784489;793379;801873;822556;833936;844992;851902;861946;871882
34;H���rault;LE PEN_Marine;LE PEN_Marine;161119;165734;25,7;25.95;800342;847365;159318;195766;641024;651599;10049;8867;4131;4004;626844;638728;13;12,6;11,8;11,1;10,8;10,1;2675;2654;2640;2643;2607;2600;1159;1171;1183;1176;1170;1178;266739;267831;268486;270415;273321;276341;280097;283928;288803;291020;292841;294667;288842;290753;294040;296380;299789;302678;198318;203414;206870;210451;214337;215605;110896;113294;117424;120707;123620;129183;1144892;1159220;1175623;1188973;1203908;1218474;547170;553676;561691;567664;574780;581731;597722;605544;613932;621309;629128;636743
35;Ille-et-Vilaine;MACRON_Emmanuel;MACRON_Emmanuel;181373;205882;30,26;34.5;730142;771636;116720;161427;613422;610209;9978;9511;4109;3866;599335;596832;7,2;6,8;6,4;6,5;5,8;5,4;1079;1122;1165;1186;1209;1225;874;880;914;922;924;928;274838;274994;273671;273721;273748;274467;269042;270249;273977;276346;277789;278841;274019;276079;278649;279244;282012;284713;152200;156750;161130;165901;170272;171808;90100;91156;92071;93643;95253;99143;1060199;1069228;1079498;1088855;1099074;1108972;517764;522136;527097;531762;536825;541627;542435;547092;552401;557093;562249;567345
36;Indre;LE PEN_Marine;LE PEN_Marine;31985;34516;24,43;28.53;170409;166100;34911;41406;135498;124694;3081;2451;1483;1246;130934;120997;9,1;8,8;8,2;7,9;7,6;7,1;283;292;295;298;297;309;151;141;135;135;127;127;45367;44714;44524;43760;42925;42397;39848;39446;39202;39250;39429;39236;59953;58871;57644;56768;55809;54950;46592;47188;47502;48357;48740;48426;30472;30376;30444;30572;30475;31232;222232;220595;219316;218707;217378;216241;107128;106506;105943;105617;105022;104460;115104;114089;113373;113090;112356;111781
